公司名称,公司编码
速速达,ssd
星速递,starex
星运快递,staryvr
顺通快递,stkd
速豹,subaoex
速呈宅配,sucheng
广东速驰,suchi8
速风快递,sufengkuaidi
穗佳物流,suijiawuliu
新速航,sunspeedy
速品快递,supinexpress
三象速递,sxexpress
老扬州物流,tjlyz56
微特派,weitepai
万家康物流,wjkwl
凡仕特物流,wlfast
重庆青枫物流有限公司,wlfeng
万理诺物流,wln
中邮速递,wondersyd
威时沛运货运,wtdchina
臣邦同城,wto56kj
祥龙运通物流,xianglongyuntong
鑫梦成,xinmengcheng
新宁物流,xinning
鑫宇快运,xinyu
鑫圣邦物流,xsb56
迅速快递,xunsuexpress
迅选物流,xunxuan
武汉优进汇,yjhgo
元智捷诚,yuanzhijiecheng
西安运逸快递,yyexp
招金精炼,zhaojin
正乾物流,zhengqian
鑫正一快递,zhengyikuaidi
中宏物流,zhonghongwl
江西中路物流,zhongluwl
忠信达,zhongxinda
众邮快递,zhongyouex
众派速递,zhpex
卓实快运,zhuoshikuaiyun
达航通,zjdht
准实快运,zsky123
中途速递,ztcce
智通物流,ztong
质效物流,zxwl
众优,zyouexpress
Antron Express,168express
一起飞啊国际速运,17feia
一起投物流,17post56
17 Post Service,17postservice
1号仓,1hcang
金羊城,1hhz
壹世达,1shida
二一八国际物流,218wl
诚天国际,233trans
恒广达,365igo
东莞澳越供应链,51aoyue
易德国际,666post
六洲速通,6zexpress
八星物流,8starexpress
安诚顺国际,acslogstic
艾递爱国际,adakd
安达速递,adapost
安迪达,addwuliu
航飞速达,afterhaul
快驿通,ahclog
"顺善发物流	",ahgbwl
安华国际,ahgjgyl
航美,airmia
AIRTRANS,airtrans
傲林国际,allinlogistics
Alljoy,alljoylogistics
满天星国际物流,allstar56
傲飞国际快线,alphastline
AMSEGROUP,amsegroup
安捷信物流,anjiexin56
美新物流,anlcn
新干线快递,anlexpress
斑头雁国际物流,anserx
安时递,anshidi
安顺兴物流,anshunxing
安逸达,anyida
安运供应链,anyun88
傲海国际,aohaiguoji
澳运国际,aoyunltd
apgecommerce,apgecommerce
广州艾普拉斯,apluslog
阿尔巴特,arbat9
艾瑞斯远,ariesfar
Art Logexpress,artlogexpress
奥特迅供应链,atxexpress
澳鹰物流,auhawk
澳森国际,ausen
澳华国际,austwaycargo
安易达,ayd66
云晖物流,ayh56
八好国际,bahaovip
佰品物流,baipin
佰州国际,baizhouguoji
堡森三通,baosencn
报通快递,baoxianda
巴萨国际,basaexp
巴西达,baxida
皮牙子快递,bazirim
犇犇国际,bbgjwl
佰舱达,bcdexpress
秉诚运通,bcytexp
百达通国际,bdtpost
佰麒快递,beckygo
蜜蜂速递,bee001
beiou express,beiou
贝瑞物流,beiruiexp
贝乙国际,beiyiguoji56
白鲸物流,belugalogcn
奔腾物流,benteng
上海缤纷物流,bflg
包裹云,bgygyl
飞鸟国际物流,birdsystem
路港易通,bjlgyt
青云物流,bjqywl
白马物流,bmwlgj
商盟,bnexp
百年运通,bnyto
博达捷运,bodaexpress
寶利民速遞,bollyman
海程邦达,bondex
波士国际,bossexpress
博克斯供应链,boxexpress
博信国际物流,boxinexpress
百千诚物流,bqcwl
BR1 Express,br1express
佰润供应链,br3346
捷宝,brcang
博威国际,broadway
福州八十八,bsbtt
毕盛国际货运,bsgjhy
柏电科技物流,bsiecommerce
佰事达,bsiscm
邦泰快运,btexpress
Buffalo,buffaloex
百通物流,buytong
蓝鲸物流,bwhale
百运网,by56
佰彦达货运,bydkd
八爪鱼,bzysz
Cacc,cacc
能装能送,canhold
链仓科技,cargodiscovery
嘉利华,carnivalsup
CBL Logistica,cbl
CEL 珲春畅达,celdt
国通快递,cess
城铁速递,cex
超光速国际物流,cgsexpress
畅邮速递,changyousudi
昌晖物流,chcn56
辰达国际物流,chenda
顺阳供应链,chengfeng
城宁供应链,chengning
宸汐国际,chenxiguoji
赤道供应链,chidaogroup
炽恩供应链,chienfba
聚航运,china56
诚晨物流,chinaccscm
国润通,chinagrt
同舟行物流,chinatzx
嘉荣物流,chllog
赛时国际货运,choicexp
科赛尔航运,chrissellgz
创一快递,chuangyi
春红物流,chunhonggyl
亦邦物流,cititrans
超级包裹,cjbgex
CJ Dropshipping,cjdropshipping
创景国际,cjgjwl
CK物流,ckexpress
江苏诚通物流,clcz
可络客国际物流,clocair
晨明坤供应链,cmkexpress
辰诺达国际物流,cndexpress
柯锐德国际,cndock
中欧物流,cneulogistics
贛德,cngood56
盟塔斯,comebox
彗吉科技,comettech
愷瑞物流,craneww
晨睿货满多,crhmd
克里斯兰,crystalline
超时代供应链,csdexpress
常昇国际,csilgroup
新时速物流,csxss
CTC-express,ctcexpress
超兔供应链,ctscm
华贸国际,ctsfreight
诚泰通运,cttyvip888
Cubyn,cubyn
布谷鸟速递,cuckooexpress
诚约轻松递,cvnlog
超跃国际物流,cygjwl
宠悠游宠物托运,cyypet
云南诚中物流,czwlyn
大广发物流,daguangfa
大集同运,dajitongyun
大巨星国际,dajuxing
东昂国际物流,dalog
丹递56,dande56
达速物流,dasu
大洋物流,dayangwuliu
Day One Track,dayonetrack
东帝国际,ddgj
东渡供应链,ddgyl
蒂尔物流,dealfy
德中快递,decnlh
德速电商物流,deksu
帝航供应链,devtrans
德威国际,dewell
递壹时,dexi
大飞速运,dfexpress
DFGL,dflogis
达方物流,dfpost
东晟国际,dgds
辉宇物流,dghyexpress
大戈智慧,dgzhgj
东昊国际,dhgyl56
Dhlink,dhlink
dhluk,dhluk
递八方,dibafang
嘀嗒国际物流,didaexp
递亿物流,diyilog
东阔国际,dk56
DLVD,dlvd
德立迅·快马,dlxchina
大马鹿速运,dmlexpress
大迈云仓,dmyc1688
多发货,dofafo
东鼎物流,dongding
成都东骏物流,dongjun
哆啦任意门,doragate
多杰物流,dorje56
Dotzot,dotzot
逗悦快运,douyue
多普达国际,dpdex
地平线速运,dpxexpress
东谦物流,dqwl
DF物流,dragonfe
Hailify,drivehailify
多途供应链,duotuexpress
多维智慧,dweex
德维国际,dwgjex
DYB,dybservice
德正通,dztlogistics
EBOEXP,ebowxp
Ecom Express,ecomexpress
ECOSCOOTING,ecoscooting
易达快运,edaeuexpress
递速易国际,edelivering
EFSPOST,efspost
汇天国际,ejingtong
广州易连供应链,eliant
昊通国际物流,elitebio
Elog Luxembourg,elogluxembourg
阿联酋(Emirates Post),emiratesen
波兰小包(Poczta Polska),emonitoringen
高考通知书,emsluqu
俄速易,ese
一海通,eshippinggateway
易速国际物流,espeedpost
东方汇,est365
eTower,etowertech
易优包裹,eupackage
Eurodis快递,eurodis
优莎速运,eusacn
长顺海运,everwellmarine
高航达,expghd
探路速运,explorer56
阿玛国际,express168
E2G速递,express2global
灵境供应链,expresslj
E速达,exsuda
易友通,eyoupost
邦太供应链,fafalux
方递物流,fangdi56
凡宇快递,fanyukuaidi
快网,fasternet
速派快递,fastgoexpress
Fast Horse (US),fasthouseus
正途供应链,fastzt
飞邦快递,fbkd
风驰集运,fcgjwl
邦国天下,fcintl
飞驰供应链,fckjexpress
飞狐快递,feihukuaidi
飞速达,feisuda
风驰国际物流,fengchi
风度国际,fengdu56
丰集环球,fengjiglobal
丰盛物流,fengsheng56
丰羿,fengyee
摆渡一下,ferryboatlogistics
壹号专线,firstline56
邮鱼科技,fishpost
飞坦数字物流,fleetan
广州方联物流,flqq56
富莱国际,flycnexp
乘先,flyfastgz
飞特物流,flytexpress
凡士达,fqd56
法运,frayun
飞点跨境供应链,freedomscm
佛山乾和,fsqh
帆盛物流,fswuliu716
法翔速运,ftlexpress
富海物联,fuhai618
孚界国际,fujexp
富利源物流,fuliyuan
货飞,fuuffy
煌运物流,fzhyexp
盖亚国际物流,gaeacn
盖亚物流,gaeaex
嘉盛泓,galaxyex
港通国际,gangtongguoji
能达速递,ganzhongnengda
高翔物流,gaopost
高星超大件,gaoxingcdj
广东诚通物流,gdct56
寄递易,gde56
飞江物流,gdjfly
高登捷诺,gdjn
快船国际,gdkc56
快龙物流,gdkl
全网物流,gdqwwl
容智快运,gdrz58
威速易供应链,gdwse
新鹏快递,gdxp
广东盈寰物流,gdyhwl
环创物流,ghl
广和物流,ghlcn
金客来,gianspeed
巨门跨境,gimen56
冠捷物流,gjwl
全球立达,globalleader
环欧通,globalnetcn
印态跨境,globalrouters
GLS Slovakia,glssk
够快供应链,gofastcn
凌曦物流,goforgps
金威集運,goldenwayexpress
高捷快运,goldjet
共速达,gongsuda
固德供应链,goodexpress
运连网,gotofreight
高迅国际,goxyl
大卖仓,greatsell
格林福德物流,greenroad
哥士传奇速递,gscq365
跨境易通,gti56
GTT EXPRESS快递,gttexpress
广运源国际物流,guangyy56
广州冠世,guanscargo
国顺达物流,guoshunda
国送快运,guosong
贵阳佳吉,gyjjwl
比诺供应链,gzbngyl
宏海供应链,gzbtygj
法斯特国际货运,gzfst
茂业物流,gzmywl
享道供应链,gzxdgyl
货六六,h66
海盟速递,haimengsudi
海星桥快递,haixingqiao
海中转运,haizhongzhuanyun
鸿安国际,halogistics
翰丰快递,hanfengjl
航城供应链,hangchenggyl
航家快运,hangjia
上海航瑞货运,hangrui
航宇快递,hangyu
汉洋物流,hansea
汉信快递,hanxin
瀚轩国际物流,hanxuan
浩海物流,haohaiexpress
皓途国际,haotuguoji
豪翔物流,haoxiang
好又宜物流,haoyouyi
皓宇物流,haoyuwms
广州哈利迅,harlyson
和安物流,hawl
瀚邦国际,hbgyl
海贝通,hbtgj56
慧诚国际物流,hcgj56
鸿昌顺通,hcs168
和邦国际物流,heboon
黑豹物流,heibaowuliu
恒瑞物流,hengrui56
深圳市恒鑫物流,hengxin
环国运物流,hgy56
韩润物流,hgzx
华瀚快递,hhair56
华航吉运,hhjy56
恒好运物流,hhyexpress
莱尔富,hilife
恒捷宇通,hjyt56
環海快運,hkglobalsea
华光国际快运,hkhuaguang
金泰达国际,hkjtd56
聯航捷國際物流,hkunitedfly
华利航,hlhex
共联配,hlpgyl
海联快递,hltop
好来运,hlyex
华美天马国际,hmtmcn
华美快递,hmus
河南航投物流,hncalogistics
飞鹰物流,hnfy
利滴物流,hnlidi
河南全速通,hnqst
顺时达物流,hnssd56
益企发物流,hnyqf
红背心,hongbeixin
宏景科,hongjingke
宏运发物流,hongyunfa56
红远物流,hongywl
honourocean,honourocean
豪速通物流,hostoexp
皇家云仓,hotwms
弘扬物流,hoyangexpress
徽派达国际,hpdexp
禾平物流,hpgjwl
弘鹏物流,hplogistics
国欧物流,hrbguoo
速远同城快递,hrbsydrd
卓烨快递,hrbzykd
高铁速递,hre
锦程快递,hrex
鸿盛达,hsdex
鸿速达,hsdexpress2
华昇国际,hsgjky
海硕高铁速递,hsgtsd
华商国际,hsscm
海淘物流,ht22
慧通,htexpress
恒腾辉,hthgjgyl
环通跨境物流,htkjwl
华达快运,huada
华联万通,huaexpress
华和国际,huaheint
华联港,hualiangang
寰达物流,huandakj
环易国际,huanyi56
华企快运,huaqikuaiyun
华睿通物流,huaruitong
华鑫泰物流,huatai
华熙国际,huaxiexpress
华鑫顺,huaxinshun
巨宝物流,hubologistics
汇霖大货网,huilin56
惠恩物流,huinglobal
慧瑞货运,huiruiwl
兰州伙伴物流,huoban
货代链,huodailian
火箭物流,huojian56
货满舱,huomc
鸿鑫物流,hxgjexp
恒巽物流,hxlogistics
海鑫运通,hxyt56
鸿兴运通,hxytexpress
宏行中运,hxzy
汇驿达,hyd
浩远国际,hyexpress
环越国际专线,hyfba
恒毅国际,hygj168
辉宇国际,hygjlog
好运国际,hygzgj
恒元嘉运,hyjyexp
鸿誉物流,hypro920
广州华亚,hyytgz
洪赞成物流,hzcexpress
川和国际,hzchgj
天鸽快运,hzdr
华航快递,hzpl
禹盛快递,hzys56
大达物流,idada
诚邮达,ieparcel
"精翼运通	",ikyi
捷运达快递,interjz
第一邮,ipostunion
星锐国际物流,isunnyway
超极兔物流,isuperto
景昌物流,jc6688
JCH,jchexp
嘉诚速达,jcsuda
捷丹集运,jdexp
基地国际,jdgj56
捷德供应链,jdgjwl
京递快运,jdkuaiyun
捷丰国际物流,jetf
极兔国际中文,jetzh
君丰国际,jfchinese
锦鸽国际,jgex
金快递,jh77express
佳豪鑫物流,jhx56
加倍达,jiabeida
嘉驰物流,jiachi56
佳家通货运,jiajiatong56
加急送,jiajisong
佳琳供应链,jialin56
嘉瑞国际,jiarui
嘉翔国际物流,jiaxiang
嘉贤物流,jiaxianwuliu
嘉欣国际,jiaxinguoji
佳邮国际,jiayouexp
加州猫速递,jiazhoumao
捷邦物流,jieborne
杰航国际物流,jiehang
捷豪货运,jiehao56
捷世通物流,jieshitong
极脉物流,jimai56
积米,jimmycross
景盛国际物流,jingsheng
金来物流,jinlaiexpress
锦栎国际,jinliexpress
津态瑞,jintery
今越国际,jinyuefreight
晋越快递,jinyuekuaidi
际通国际速递,jitongexp
极通环球,jitoscm
玖安怡,jiuay
玖鼎通,jiudt
九州汇通供应链,jiuhuiwan
久易快递,jiuyicn
广州捷佳,jjglobal
捷立国际,jjwex
金开宇国际物流,jkyexpress
锦联国际物流,jlfba
国迅物流,jmguoxun
骏能达,jndcargo
J-NET捷网,jnet
九猫国际物流,jomalls360
飞盒跨境,joyingbox
景强国际,jqgjwl
金世达,jsdgj56
佳仕达供应链,jsdgyl
急速国际,jsexp
捷顺联运,jsly56
捷顺荣,jsr56
吉通同城,jtotc
吉天下快运,jtx168
广州骏亚,junya56
君羽航,junyuhang
准时达跨境,jusdasr
聚缘物流,juyuanwuliu
聚中大,juzhongda
吉箱物流,jxexpress
集先锋快递,jxfex
嘉信供应链,jxgyl
全航通物流,jxqht
锦绣四方,jxsfexpress
捷优国际,jyexpress
嘉扬国际,jygjgyl
捷易通达,jytd88
剑展物流,jzexp
嘉至国际,jzgjgyl
海源国际,kaigenlogistics
开麦国际,kaimai56
嘉华,kawa
凯秀物流,kco56
棒极啦,kdbjl
嘉里电子商务,kerryecommerce
嘉里环球,kerrytransport
快服务,kfwnet
顺邦科技物流,kjy
快凯国际,kktrans
昆仑速达,kleexpress
可蒙国际,komonexpress
功夫物流,kongfuexpress
港乐速邮,konglok
凯尔凯,kpksz
坤翔国际,krexi
快达物流,kuaidawuliu
快吉通,kuaijitong
快卡,kuaika
港捷快快,kuaikuaicn
快雁,kuaiyan
跨境在线,kuajingline56
跨境壹号,kuajingyihao
跨易达,kuayida
鲲一,kunexpress
桂邦运输,kwaibon
凯欣国际,kxexp
凯旋嘉供应链,kxj56
快越达物流,kydpost
快运联盟,kylm360
蓝弧快递,lanhukuaidi
林安物流,lasy56
蓝豹云仓供应链,lb56
莱比特物流,lbt56
龙本天下,lbtxkd
联程达,lcda56
联超达供应链,lcdgyl
领东国际,ldgj56
龙迅国际物流,ldlog
绿达通供应链,ldtgyl
乐达全球速递,ledaexpress
领盛物流,lepeakfreight
乐伊跨境,leyikj
龙富鼎盛,lfds168
龙浩速运,lhexpress
龙海通达,lhtd56
亮点快运,liangdian
联派达,lianpaida
联烨国际,lianyeint
利葆通旭,libaotongxu
光锥供应链,lightconescm
领讯物流,lingxun
灵韵,lingyunexpress
林瀚国际,linhan56
比特汇国际,linklinkbest
丽狮物流,lishi
六尘国际,liuchenwl
润禾物流,liujiashen
利迅物流,lixunwuliu
六脉速运,lmparcel
琉贝,logbay
随波物流,logisters
LUCFLOW EXPRESS,longfx
隆浪快递,longlangkuaidi
龙信物流,longxingz
龍壹达国际,longyida
龙尚广源快递,lsgykd
链四洲,lsztec
乐天速递,ltexp
利通快递,ltkd
路邦物流,lubang56
好运极达,lucksoon
鲁通快运,lutong
路遥物流,luyao
路尊物流,luzun
种心速运,lxwlgyl
龙运速通,lyst56
乐众物流,lzfba
上海翼瀚,madrooex
迈达通国际,maidatong
迈客丰国际物流,maikf
mailamericas,mailamericas
麦链中国,mailiancn
迈隆递运,mailongdy
芒果速递,mangguo
环世捷运物流,maratrack
MCIH国际快递,mcih
马可达,mctrans
极速鸟,megaswift
美达快递,meidaexpress
美幻国际,meihuan
美捷国际,meijie56
美胜国际,meishengguoji
美泰物流,meitai
蒙川国际,mengchuan
美通达跨境,metooda
迈峰国际,mfgjkd
海豚日本仓,mgoship
梦和爱贸易,mhafly
茂泓国际,mhgjexpress
名航速运,mhsy
杭州幂雅,miaexpress
米多奇国际,miduoqi
米粒物流,miliexpress
银河物流,milkyway
民航快递,minghangkuaidi
铭豪国际,minghao
深圳淼信国际物流,miuson
铭宇国际物流,miyu56
美卡多物流,mkdexpress
MoreLink,morelink56
魔速达,mosuda
MT速运,mtlogistik
猫头鹰国际,mtyexpress
中俄速通（淼信）,mxe56
民祥国际,mxlexp
DIDADI,mydidadi
满壹滴,mydservice
美易国际,myexpress
唛发宝,myfba
myKN,mykn
迈运供应链,myline56
铭志国际,mz56
元昊国际,mzlyuanhao
新亚物流,nalexpress
南京沃源,nanjingwoyuan
早道佳,nbhtt
汇赣武供应链,nchuiganwu
南方传媒物流,ndwl
哪吒速运,nezhasuyun
牛牛达快运,niuniuda
牛仔速运,niuzaiexpress
金陵飞豹快递,njfeibao
浩博物流,njhaobo
南京合纵连横物流,njhzlh
华赫物流,nmhuahe
"诺客来	",nuokelai
诺信特快递,nxtwuliu
南北通国际货代,ofo56
万国国际,ogilogistic
OMG国际速运,omg
久鼎国际,onefly56
埃德维OTW,otwex
波音速递,overseaex
Pandu Logistics,pandulogistics
陪行物流,peixingwuliu
鹏运通物流,pengyuntong
佩奇集运,peppaship
